id,number,name,sector_commission_id/id,active
branch_economic_activity_10_07,7,FABRICACIÓN DE HILADO- TEJIDO (PUNTO/PLANO) Y ACABADOS TEXTILES,sector_commission_10,True
branch_economic_activity_10_08,8,INDUSTRIA DE CORDELERÍA,sector_commission_10,True

branch_economic_activity_11_01,1,TALLERES DE REPARACIÓN Y MANTENIMIENTO DE AUTOMOTORES,sector_commission_11,True
branch_economic_activity_11_02,2,ENSAMBLAJE DE AUTOMOTORES- FABRICACIÓN DE SUS PARTES Y PIEZAS; Y- FABRICACIÓN DE CARROCERÍAS,sector_commission_11,True
branch_economic_activity_11_03,3,COMERCIALIZACIÓN DE VEHÍCULOS- AUTOMOTORES- CARROCERÍAS; Y- SUS PARTES Y PIEZAS,sector_commission_11,True

branch_economic_activity_12_01,1,INFORMÁTICA Y ACTIVIDADES CONEXAS,sector_commission_12,True
branch_economic_activity_12_02,2,TÉCNICOS EN TELECOMUNICACIONES Y COMPUTACIÓN (TÉCNICOS EN PROGRAMACIÓN Y SOFTWARE-TÉCNICOS EN HARDWARE),sector_commission_12,True
branch_economic_activity_12_03,3,OTROS SERVICIOS RELACIONADOS CON TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC´S),sector_commission_12,True
branch_economic_activity_12_04,4,EMPRESAS ESPECIALIZADAS EN TELEFONÍA MÓVIL,sector_commission_12,True

branch_economic_activity_13_01,1,GENERACIÓN- TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA,sector_commission_13,True
branch_economic_activity_13_02,2,CAPTACIÓN- DEPURACIÓN Y DISTRIBUCIÓN DE AGUA,sector_commission_13,True
branch_economic_activity_13_03,3,PRODUCCIÓN DE GAS- DISTRIBUCIÓN Y COMERCIALIZACIÓN DE COMBUSTIBLES GASEOSOS,sector_commission_13,True

branch_economic_activity_14_01,1,CONSTRUCCIÓN Y SERVICIOS TÉCNICOS ARQUITECTÓNICOS,sector_commission_14,True
