id,code,name,state_id/id,active
res_city_184,8,Pedro Vicente Maldonado,state_ec_17,True
res_city_185,9,Puerto Quito,state_ec_17,True
res_city_186,1,Ambato,state_ec_18,True
res_city_187,2,Baños de Agua Santa,state_ec_18,True
res_city_188,3,Cevallos,state_ec_18,True
res_city_189,4,Mocha,state_ec_18,True
res_city_190,5,Patate,state_ec_18,True
res_city_191,6,Quero,state_ec_18,True
res_city_192,7,San Pedro De Pelileo,state_ec_18,True
res_city_193,8,Santiago de Píllaro,state_ec_18,True
res_city_194,9,Tisaleo,state_ec_18,True
res_city_195,1,Zamora,state_ec_19,True
res_city_196,2,Chinchipe,state_ec_19,True
res_city_197,3,Nangaritza,state_ec_19,True
res_city_198,4,Yacuambi,state_ec_19,True
res_city_199,5,Yantzaza,state_ec_19,True
res_city_200,6,El Pangui,state_ec_19,True
res_city_201,7,Centinela Del Cóndor,state_ec_19,True
res_city_202,8,Palanda,state_ec_19,True
res_city_203,9,Paquisha,state_ec_19,True
res_city_204,1,San Cristóbal,state_ec_20,True
res_city_205,2,Isabela,state_ec_20,True
res_city_206,3,Santa Cruz,state_ec_20,True
res_city_207,1,Lago Agrio,state_ec_21,True
res_city_208,2,Gonzalo Pizarro,state_ec_21,True
res_city_209,3,Putumayo,state_ec_21,True
res_city_210,4,Shushufindi,state_ec_21,True
res_city_211,5,Sucumbíos,state_ec_21,True
res_city_212,6,Cascales,state_ec_21,True
res_city_213,7,Cuyabeno,state_ec_21,True
res_city_214,1,Orellana,state_ec_22,True
res_city_215,2,Aguarico,state_ec_22,True
res_city_216,3,La Joya de Los Sachas,state_ec_22,True
res_city_217,4,Loreto,state_ec_22,True
res_city_218,1,Santo Domingo,state_ec_23,True
res_city_219,1,Santa Elena,state_ec_24,True
res_city_220,2,La Libertad,state_ec_24,True
res_city_221,3,Salinas,state_ec_24,True
