id,code,name,city_id/id,active
res_parish_ec_257,1,San Miguel,res_city_40,True
res_parish_ec_258,2,Antonio José Holguín (Santa Lucía),res_city_40,True
res_parish_ec_259,3,Cusubamba,res_city_40,True
res_parish_ec_260,4,Mulalillo,res_city_40,True
res_parish_ec_261,5,Mulliquindil (Santa Ana),res_city_40,True
res_parish_ec_262,6,Pansaleo,res_city_40,True
res_parish_ec_263,1,Saquisilí,res_city_41,True
res_parish_ec_264,2,Canchagua,res_city_41,True
res_parish_ec_265,3,Chantilín,res_city_41,True
res_parish_ec_266,4,Cochapamba,res_city_41,True
res_parish_ec_267,1,Sigchos,res_city_42,True
res_parish_ec_268,2,Chugchillán,res_city_42,True
res_parish_ec_269,3,Isinliví,res_city_42,True
res_parish_ec_270,4,Las Pampas,res_city_42,True
res_parish_ec_271,5,Palo Quemado,res_city_42,True
res_parish_ec_272,1,Lizarzaburu,res_city_43,True
res_parish_ec_273,2,Maldonado,res_city_43,True
res_parish_ec_274,3,Velasco,res_city_43,True
res_parish_ec_275,4,Veloz,res_city_43,True
res_parish_ec_276,5,Yaruquíes,res_city_43,True
res_parish_ec_277,6,Riobamba,res_city_43,True
res_parish_ec_278,7,Cacha (Cab. En Machángara),res_city_43,True
res_parish_ec_279,8,Calpi,res_city_43,True
res_parish_ec_280,9,Cubijíes,res_city_43,True
res_parish_ec_281,10,Flores,res_city_43,True
res_parish_ec_282,11,Licán,res_city_43,True
res_parish_ec_283,12,Licto,res_city_43,True
res_parish_ec_284,13,Pungalá,res_city_43,True
res_parish_ec_285,14,Punín,res_city_43,True
res_parish_ec_286,15,Quimiag,res_city_43,True
res_parish_ec_287,16,San Juan,res_city_43,True
res_parish_ec_288,17,San Luis,res_city_43,True
res_parish_ec_289,1,Alausí,res_city_44,True
res_parish_ec_290,2,Achupallas,res_city_44,True
res_parish_ec_291,3,Cumandá,res_city_44,True
res_parish_ec_292,4,Guasuntos,res_city_44,True
res_parish_ec_293,5,Huigra,res_city_44,True
res_parish_ec_294,6,Multitud,res_city_44,True
res_parish_ec_295,7,Pistishí (Nariz Del Diablo),res_city_44,True
res_parish_ec_296,8,Pumallacta,res_city_44,True
res_parish_ec_297,9,Sevilla,res_city_44,True
res_parish_ec_298,10,Sibambe,res_city_44,True
res_parish_ec_299,11,Tixán,res_city_44,True
res_parish_ec_300,1,Cajabamba,res_city_45,True
res_parish_ec_301,2,Sicalpa,res_city_45,True
res_parish_ec_302,3,Villa La Unión (Cajabamba),res_city_45,True
res_parish_ec_303,4,Cañi,res_city_45,True
res_parish_ec_304,5,Columbe,res_city_45,True
res_parish_ec_305,6,Juan De Velasco (Pangor),res_city_45,True
res_parish_ec_306,7,Santiago De Quito (Cab. En San Antonio De Quito),res_city_45,True
res_parish_ec_307,1,Chambo,res_city_46,True
res_parish_ec_308,1,Chunchi,res_city_47,True
res_parish_ec_309,2,Capzol,res_city_47,True
res_parish_ec_310,3,Compud,res_city_47,True
res_parish_ec_311,4,Gonzol,res_city_47,True
res_parish_ec_312,5,Llagos,res_city_47,True
res_parish_ec_313,1,Guamote,res_city_48,True
res_parish_ec_314,2,Cebadas,res_city_48,True
res_parish_ec_315,3,Palmira,res_city_48,True
res_parish_ec_316,1,El Rosario,res_city_49,True
res_parish_ec_317,2,La Matriz,res_city_49,True
res_parish_ec_318,3,Guano,res_city_49,True
res_parish_ec_319,4,Guanando,res_city_49,True
res_parish_ec_320,5,Ilapo,res_city_49,True
res_parish_ec_321,6,La Providencia,res_city_49,True
res_parish_ec_322,7,San Andrés,res_city_49,True
