id,code,name,state_id/id,active
res_city_174,1,Pastaza,base.state_ec_16,True
res_city_175,2,Mera,base.state_ec_16,True
res_city_176,3,Santa Clara,base.state_ec_16,True
res_city_177,4,Arajuno,base.state_ec_16,True
res_city_178,1,Quito,base.state_ec_17,True
res_city_179,2,Cayambe,base.state_ec_17,True
res_city_180,3,Mejia,base.state_ec_17,True
res_city_181,4,Pedro Moncayo,base.state_ec_17,True
res_city_182,5,Rumiñahui,base.state_ec_17,True
res_city_183,7,San Miguel de Los Bancos,base.state_ec_17,True
res_city_184,8,Pedro Vicente Maldonado,base.state_ec_17,True
res_city_185,9,Puerto Quito,base.state_ec_17,True
res_city_186,1,Ambato,base.state_ec_18,True
res_city_187,2,Baños de Agua Santa,base.state_ec_18,True
res_city_188,3,Cevallos,base.state_ec_18,True
res_city_189,4,Mocha,base.state_ec_18,True
res_city_190,5,Patate,base.state_ec_18,True
res_city_191,6,Quero,base.state_ec_18,True
res_city_192,7,San Pedro De Pelileo,base.state_ec_18,True
res_city_193,8,Santiago de Píllaro,base.state_ec_18,True
res_city_194,9,Tisaleo,base.state_ec_18,True
res_city_195,1,Zamora,base.state_ec_19,True
res_city_196,2,Chinchipe,base.state_ec_19,True
res_city_197,3,Nangaritza,base.state_ec_19,True
res_city_198,4,Yacuambi,base.state_ec_19,True
res_city_199,5,Yantzaza,base.state_ec_19,True
res_city_200,6,El Pangui,base.state_ec_19,True
res_city_201,7,Centinela Del Cóndor,base.state_ec_19,True
res_city_202,8,Palanda,base.state_ec_19,True
res_city_203,9,Paquisha,base.state_ec_19,True
res_city_204,1,San Cristóbal,base.state_ec_20,True
res_city_205,2,Isabela,base.state_ec_20,True
res_city_206,3,Santa Cruz,base.state_ec_20,True
res_city_207,1,Lago Agrio,base.state_ec_21,True
res_city_208,2,Gonzalo Pizarro,base.state_ec_21,True
res_city_209,3,Putumayo,base.state_ec_21,True
res_city_210,4,Shushufindi,base.state_ec_21,True
res_city_211,5,Sucumbíos,base.state_ec_21,True
res_city_212,6,Cascales,base.state_ec_21,True
res_city_213,7,Cuyabeno,base.state_ec_21,True
res_city_214,1,Orellana,base.state_ec_22,True
res_city_215,2,Aguarico,base.state_ec_22,True
res_city_216,3,La Joya de Los Sachas,base.state_ec_22,True
res_city_217,4,Loreto,base.state_ec_22,True
res_city_218,1,Santo Domingo,base.state_ec_23,True
res_city_219,1,Santa Elena,base.state_ec_24,True
res_city_220,2,La Libertad,base.state_ec_24,True
res_city_221,3,Salinas,base.state_ec_24,True
